Day,Odd/Even,7:45-8:00,8:00-9:00,9:00-10:00,10:00-10:30,10:30-11:30,11:30-12:30,12:30-13:30,13:30-14:30,14:30-15:00
Mon,Odd,SHINE,SCI,ELIT,Recess,EL,MATH,MTL,MUSIC,
Tue,Odd,SHINE,SCI,HIST,Recess,ELIT,FCE,EL,MATH,FTIP
Wed,Odd,SHINE,MATH,SCI,Recess,MTL,HIST,PE,ASSEMBLY FTIP,
Thu,Odd,SHINE,D&T,D&T,Recess,EL,MTL,HIST,FCE,
Fri,Odd,SHINE,PE,EL,Recess,MTL,CCE,,,
Mon,Even,SHINE,D&T,EL,Recess,HIST,MTL,MATH,SCI,
Tue,Even,SHINE,SCI,HIST,Recess,MTL,ELIT,MUSIC,MATH,FTIP
Wed,Even,SHINE,SCI,MATH,Recess,HIST,EL,PE,ASSEMBLY FTIP,
Thu,Even,SHINE,FCE,FCE,Recess,MTL,HIST,D&T,EL,
Fri,Even,SHINE,PE,MATH,Recess,SCI,CCE,,,